DSC00536 (1.5824047212955965, -2.6910831330616047) water
DSC00538 (1.6059534276736156, -2.510656544726431) 3%
DSC00539 (1.5484780614295373, -2.1026421762754017) water
DSC00542 (1.5941629410664362, -2.434249786816382) 3%
DSC00543 (1.5288875389237013, -2.091176984670485) 6%
DSC00545 (1.4169170477863342, -1.4449977956467221) 3%
DSC00547 (1.5261674257922646, -2.164633946144867) 6%
DSC00551 (1.4525932079359232, -2.337719862503276) water
DSC00553 (1.5109188180789135, -2.6017627824281253) water
DSC00556 (1.4689983052671038, -2.093998450130668) water
